date,jadwal sholat,isPartial
2025-02-21 03:00:00,8,False
2025-02-21 04:00:00,48,False
2025-02-21 05:00:00,6,False
2025-02-21 06:00:00,2,False
2025-02-21 07:00:00,12,False
2025-02-21 08:00:00,13,False
2025-02-21 09:00:00,4,False
2025-02-21 10:00:00,25,False
2025-02-21 11:00:00,26,False
2025-02-21 12:00:00,18,False
2025-02-21 13:00:00,2,False
2025-02-21 14:00:00,3,False
2025-02-21 20:00:00,42,False
2025-02-21 21:00:00,90,False
2025-02-21 22:00:00,19,False
2025-02-22 00:00:00,3,False
2025-02-22 01:00:00,2,False
2025-02-22 02:00:00,2,False
2025-02-22 03:00:00,4,False
2025-02-22 04:00:00,25,False
2025-02-22 05:00:00,6,False
2025-02-22 06:00:00,2,False
2025-02-22 07:00:00,17,False
2025-02-22 08:00:00,13,False
2025-02-22 09:00:00,3,False
2025-02-22 10:00:00,22,False
2025-02-22 11:00:00,23,False
2025-02-22 12:00:00,14,False
2025-02-22 13:00:00,2,False
2025-02-22 14:00:00,2,False
2025-02-22 15:00:00,3,False
2025-02-22 16:00:00,5,False
2025-02-22 20:00:00,29,False
2025-02-22 21:00:00,86,False
2025-02-22 22:00:00,11,False
2025-02-23 03:00:00,3,False
2025-02-23 04:00:00,22,False
2025-02-23 05:00:00,6,False
2025-02-23 06:00:00,2,False
2025-02-23 07:00:00,19,False
2025-02-23 08:00:00,12,False
2025-02-23 09:00:00,3,False
2025-02-23 10:00:00,24,False
2025-02-23 11:00:00,25,False
2025-02-23 12:00:00,15,False
2025-02-23 14:00:00,2,False
2025-02-23 15:00:00,2,False
2025-02-23 16:00:00,3,False
2025-02-23 20:00:00,64,False
2025-02-23 21:00:00,100,False
2025-02-23 22:00:00,10,False
2025-02-23 23:00:00,7,False
2025-02-24 02:00:00,2,False
2025-02-24 03:00:00,2,False
2025-02-24 04:00:00,21,False
2025-02-24 05:00:00,4,False
2025-02-24 06:00:00,2,False
2025-02-24 07:00:00,14,False
2025-02-24 08:00:00,13,False
2025-02-24 09:00:00,3,False
2025-02-24 10:00:00,31,False
2025-02-24 11:00:00,31,False
2025-02-24 12:00:00,14,False
2025-02-24 13:00:00,2,False
2025-02-24 14:00:00,2,False
2025-02-24 15:00:00,2,False
2025-02-24 16:00:00,3,False
2025-02-24 20:00:00,40,False
2025-02-24 21:00:00,81,False
2025-02-24 22:00:00,9,False
2025-02-24 23:00:00,4,False
2025-02-25 01:00:00,2,False
2025-02-25 02:00:00,1,False
2025-02-25 03:00:00,2,False
2025-02-25 04:00:00,19,False
2025-02-25 05:00:00,4,False
2025-02-25 07:00:00,14,False
2025-02-25 08:00:00,13,False
2025-02-25 09:00:00,4,False
2025-02-25 10:00:00,18,False
2025-02-25 11:00:00,19,False
2025-02-25 12:00:00,15,False
2025-02-25 13:00:00,2,False
2025-02-25 14:00:00,2,False
2025-02-25 15:00:00,2,False
2025-02-25 16:00:00,3,False
2025-02-25 20:00:00,33,False
2025-02-25 21:00:00,90,False
2025-02-25 22:00:00,12,False
2025-02-25 23:00:00,4,False
2025-02-26 00:00:00,4,False
2025-02-26 01:00:00,3,False
2025-02-26 02:00:00,2,False
2025-02-26 03:00:00,3,False
2025-02-26 04:00:00,19,False
2025-02-26 05:00:00,7,False
2025-02-26 06:00:00,2,False
2025-02-26 07:00:00,15,False
2025-02-26 08:00:00,11,False
2025-02-26 09:00:00,2,False
2025-02-26 10:00:00,21,False
2025-02-26 11:00:00,24,False
2025-02-26 12:00:00,13,False
2025-02-26 13:00:00,3,False
2025-02-26 14:00:00,2,False
2025-02-26 16:00:00,3,False
2025-02-26 20:00:00,26,False
2025-02-26 21:00:00,83,False
2025-02-26 22:00:00,13,False
2025-02-26 23:00:00,4,False
2025-02-27 03:00:00,4,False
2025-02-27 04:00:00,19,False
2025-02-27 05:00:00,5,False
2025-02-27 06:00:00,2,False
2025-02-27 07:00:00,19,False
2025-02-27 08:00:00,11,False
2025-02-27 09:00:00,3,False
2025-02-27 10:00:00,27,False
2025-02-27 11:00:00,25,False
2025-02-27 12:00:00,15,False
2025-02-27 13:00:00,2,False
2025-02-27 14:00:00,3,False
2025-02-27 15:00:00,2,False
2025-02-27 20:00:00,32,False
2025-02-27 21:00:00,87,False
2025-02-27 22:00:00,13,False
2025-02-27 23:00:00,6,False
2025-02-28 01:00:00,2,False
